CO_CURSO,TP_GRAU_ACADEMICO,TP_SITUACAO,IN_DEFICIENCIA,IN_RESERVA_VAGAS,TP_SEXO,TP_COR_RACA,NU_ANO_NASCIMENTO,NU_DIA_NASCIMENTO,NU_MES_NASCIMENTO,NU_IDADE,NU_ANO_INGRESSO,NU_ANO_CENSO,CO_MUNICIPIO_NASCIMENTO
96981,3,2,0,0,0,6,1984,16,4,25,2007,2009,null
107474,1,2,0,0,1,6,1986,16,11,23,2008,2009,null
99503,2,2,0,0,1,6,1985,26,12,24,2007,2009,null
107474,1,2,0,0,0,6,1970,1,8,39,2008,2009,null
107474,1,2,0,0,0,6,1984,27,4,25,2008,2009,null
107474,1,2,0,0,1,6,1989,30,6,20,2008,2009,null
107474,1,2,0,0,0,6,1985,6,8,24,2008,2009,null
99503,2,2,0,0,1,6,1989,16,2,20,2007,2009,null
107474,1,2,0,0,1,6,1986,15,1,23,2008,2009,null
99503,2,2,0,0,1,6,1979,18,11,30,2008,2009,null
99503,2,2,0,0,0,6,1989,4,12,20,2008,2009,null
96981,3,2,0,0,0,6,1988,1,4,21,2007,2009,null
107474,1,2,0,0,1,6,1989,6,5,20,2008,2009,null
107474,1,2,0,0,1,6,1985,22,1,24,2008,2009,null
99503,2,2,0,0,0,6,1982,15,10,27,2007,2009,null
99503,2,2,0,0,0,6,1982,3,11,27,2007,2009,null
99503,2,2,0,0,1,6,1989,12,3,20,2007,2009,null
